ST,CB,PB,GO,CA,RETURN,VOLAT
20,0,20,60,0,-0.07943383335657536,5.086386234379915
20,0,20,40,20,0.014926617176910982,3.174464673128632
20,0,20,20,40,-0.057801858666924,1.511014315662983
20,0,20,0,60,0.03654963577484011,1.6895945141545583
20,0,0,80,0,0.17171923990525245,6.707639250573003
20,0,0,60,20,-0.07947087604514413,4.771925893732636
20,0,0,40,40,0.014933582891044652,2.8755319163114623
20,0,0,20,60,-0.0578288067053844,1.3990894371685108
20,0,0,0,80,0.03656668778581069,2.0560161040515
0,100,0,0,0,0.0008301871681612034,2.081385640260229
0,80,20,0,0,0.0006637973702707812,1.6839970593514257
0,80,0,20,0,-0.09374174416009301,2.917372309692775
0,80,0,0,20,0.0006641071782896992,1.5163083101809658
0,60,40,0,0,0.0004975840347952681,1.374006437628034
0,60,20,20,0,-0.09385786927590944,2.495404141917269
0,60,20,0,20,0.0004978161443953974,1.275400127432995
0,60,0,40,0,-0.02115115222349233,4.004108875054988
0,60,0,20,20,-0.09390164090383973,2.2038829408001606
0,60,0,0,40,0.0004980484706241932,1.33623417434002
0,40,60,0,0,0.0003324112020190013,1.2195266786783447
0,40,40,20,0,-0.09397387133174184,2.119484488343544
0,40,40,0,20,0.0003317014568666836,1.228773148373085
0,40,20,40,0,-0.02130589980596736,3.5999015963757293
0,40,20,20,20,-0.09401767382619798,1.8395954038897468
0,40,20,0,40,0.00033185617676868145,1.4011374226397029
0,40,0,60,0,-0.11571832896195174,5.1941133755244975
0,40,0,40,20,-0.021315844995981666,3.289385834016534
0,40,0,20,40,-0.09406151717355012,1.6323393248040596
0,40,0,0,60,0.00033201104109234914,1.6940847224108886
0,20,80,0,0,0.00016611733146162848,1.2763441168465963
0,20,60,20,0,-0.09433484690985632,1.8217519065967243
0,20,60,0,20,0.00016619494040842102,1.395226000993773
0,20,40,40,0,-0.021460483251882455,3.230718553231899
0,20,40,20,20,-0.09413358379411775,1.570908128576121
0,20,40,0,40,0.00016584011328787075,1.6444435646664524
0,20,20,60,0,-0.11582281687754782,4.807552716000414
0,20,20,40,20,-0.021470495283493426,2.923606334240247
0,20,20,20,40,-0.09417745792506531,1.424324790201185
0,20,20,0,60,0.00016591746334324243,1.981208117863953
0,20,0,80,0,0.1353250654506264,6.423959452443789
0,20,0,60,20,-0.1158768390651189,4.501475055031385
0,20,0,40,40,-0.02148051666134028,2.6490595833507347
0,20,0,20,60,-0.09422137297312001,1.4176718851716963
0,20,0,0,80,0.00016599488558649212,2.373867411240166
0,0,100,0,0,0.0,1.5221242933179406
0,0,80,20,0,-0.09445077474153603,1.634399909457453
0,0,80,0,20,0.0,1.714288455140673
0,0,60,40,0,-0.021671258736225447,2.9172827572523166
0,0,60,20,20,-0.09449486745318206,1.4527413883517424
0,0,60,0,40,1.8211814847091756e-14,2.003377287372849
0,0,40,60,0,-0.11592719405106597,4.449605385713433
