Date	Price
Jan 24, 2020	199.3
Jan 23, 2020	199.83
Jan 22, 2020	199.63
Jan 21, 2020	199.13
Jan 20, 2020	199.76
Jan 17, 2020	199.7
Jan 16, 2020	198.1
Jan 15, 2020	196.77
Jan 14, 2020	197.01
Jan 13, 2020	196.76
Jan 10, 2020	196.26
Jan 09, 2020	196.64
Jan 08, 2020	195.26
Jan 07, 2020	194.3
Jan 06, 2020	193.81
Jan 03, 2020	194.12
Jan 02, 2020	194.59
