Date	Price
Mar 05, 2020	157.49
Mar 04, 2020	154.16
Mar 03, 2020	153.89
Mar 02, 2020	149.2
Feb 28, 2020	148.38
Feb 27, 2020	154.0
Feb 26, 2020	153.97
Feb 25, 2020	153.3
Feb 24, 2020	156.09
Feb 21, 2020	154.7
Feb 20, 2020	152.41
Feb 19, 2020	151.79
Feb 18, 2020	150.91
Feb 14, 2020	149.0
Feb 13, 2020	148.38
Feb 12, 2020	147.54
Feb 11, 2020	147.66
Feb 10, 2020	148.17
Feb 07, 2020	147.79
Feb 06, 2020	147.4
Feb 05, 2020	146.61
Feb 04, 2020	146.43
Feb 03, 2020	148.36
Jan 31, 2020	149.33
Jan 30, 2020	148.47
Jan 29, 2020	148.46
Jan 28, 2020	147.66
Jan 27, 2020	148.99
Jan 24, 2020	147.98
Jan 23, 2020	147.12
Jan 22, 2020	146.79
Jan 21, 2020	146.74
Jan 17, 2020	146.58
Jan 16, 2020	146.31
Jan 15, 2020	146.54
Jan 14, 2020	145.69
Jan 13, 2020	145.82
Jan 10, 2020	146.91
Jan 09, 2020	146.03
Jan 08, 2020	146.86
Jan 07, 2020	147.97
Jan 06, 2020	147.39
Jan 03, 2020	145.86
Jan 02, 2020	143.95
