Date	Price
Feb 12, 2020	99.05
Feb 11, 2020	98.72
Feb 10, 2020	98.83
Feb 07, 2020	98.68
Feb 06, 2020	98.5
Feb 05, 2020	98.3
Feb 04, 2020	97.96
Feb 03, 2020	97.8
Jan 31, 2020	97.39
Jan 30, 2020	97.87
Jan 29, 2020	97.99
Jan 28, 2020	98.02
Jan 27, 2020	97.96
Jan 24, 2020	97.85
Jan 23, 2020	97.69
Jan 22, 2020	97.53
Jan 21, 2020	97.53
Jan 20, 2020	97.61
Jan 17, 2020	97.64
Jan 16, 2020	97.32
Jan 15, 2020	97.23
Jan 14, 2020	97.37
Jan 13, 2020	97.34
Jan 10, 2020	97.36
Jan 09, 2020	97.45
Jan 08, 2020	97.3
Jan 07, 2020	97.0
Jan 06, 2020	96.67
Jan 03, 2020	96.84
Jan 02, 2020	96.85
Jan 01, 2020	96.39
